Product Type,Product Sub-Category,Type,Period,Forecast_Qty,Model
Canned Foods,Wild Berry,future_forecast,2014-12-01,5.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-01-01,27.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-02-01,48.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-03-01,37.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-04-01,57.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-05-01,28.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-06-01,47.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-07-01,36.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-08-01,37.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-09-01,47.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-10-01,72.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-11-01,90.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Jams,future_forecast,2014-12-01,192.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-01-01,91.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-02-01,76.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-03-01,65.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-04-01,148.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-05-01,128.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-06-01,109.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-07-01,125.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-08-01,132.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-09-01,125.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-10-01,92.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-11-01,195.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Marmalade,future_forecast,2014-12-01,81.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-01-01,38.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-02-01,12.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-03-01,12.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-04-01,46.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-05-01,-1.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-06-01,11.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-07-01,47.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-08-01,21.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-09-01,34.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-10-01,9.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-11-01,134.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Pickle,future_forecast,2014-12-01,23.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Sundried Tomatoes,future_forecast,2014-01-01,26.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Sundried Tomatoes,future_forecast,2014-02-01,-19.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Sundried Tomatoes,future_forecast,2014-03-01,13.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Sundried Tomatoes,future_forecast,2014-04-01,7.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Sundried Tomatoes,future_forecast,2014-05-01,31.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Sundried Tomatoes,future_forecast,2014-06-01,94.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Sundried Tomatoes,future_forecast,2014-07-01,57.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Sundried Tomatoes,future_forecast,2014-08-01,33.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Sundried Tomatoes,future_forecast,2014-09-01,32.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Sundried Tomatoes,future_forecast,2014-10-01,100.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Sundried Tomatoes,future_forecast,2014-11-01,55.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Preserved Food,Sundried Tomatoes,future_forecast,2014-12-01,94.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Bacon,future_forecast,2014-01-01,21.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Bacon,future_forecast,2014-02-01,76.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Bacon,future_forecast,2014-03-01,136.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Bacon,future_forecast,2014-04-01,91.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Bacon,future_forecast,2014-05-01,84.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Bacon,future_forecast,2014-06-01,84.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Bacon,future_forecast,2014-07-01,86.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Bacon,future_forecast,2014-08-01,78.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Bacon,future_forecast,2014-09-01,115.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Bacon,future_forecast,2014-10-01,93.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Bacon,future_forecast,2014-11-01,91.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Bacon,future_forecast,2014-12-01,232.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Caviar,future_forecast,2014-01-01,3.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Caviar,future_forecast,2014-02-01,3.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Caviar,future_forecast,2014-03-01,1.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Caviar,future_forecast,2014-04-01,14.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Caviar,future_forecast,2014-05-01,53.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Caviar,future_forecast,2014-06-01,38.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Caviar,future_forecast,2014-07-01,10.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Caviar,future_forecast,2014-08-01,10.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Caviar,future_forecast,2014-09-01,49.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Caviar,future_forecast,2014-10-01,17.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Caviar,future_forecast,2014-11-01,109.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Caviar,future_forecast,2014-12-01,8.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Foie Gras,future_forecast,2014-01-01,93.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Foie Gras,future_forecast,2014-02-01,64.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Foie Gras,future_forecast,2014-03-01,58.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Foie Gras,future_forecast,2014-04-01,62.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Foie Gras,future_forecast,2014-05-01,91.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Foie Gras,future_forecast,2014-06-01,116.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Foie Gras,future_forecast,2014-07-01,93.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Foie Gras,future_forecast,2014-08-01,148.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Foie Gras,future_forecast,2014-09-01,109.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Foie Gras,future_forecast,2014-10-01,104.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Foie Gras,future_forecast,2014-11-01,158.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Foie Gras,future_forecast,2014-12-01,99.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Fresh Water Eel,future_forecast,2014-01-01,81.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Fresh Water Eel,future_forecast,2014-02-01,26.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Fresh Water Eel,future_forecast,2014-03-01,8.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Fresh Water Eel,future_forecast,2014-04-01,39.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Fresh Water Eel,future_forecast,2014-05-01,64.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Fresh Water Eel,future_forecast,2014-06-01,32.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Fresh Water Eel,future_forecast,2014-07-01,38.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Fresh Water Eel,future_forecast,2014-08-01,72.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Fresh Water Eel,future_forecast,2014-09-01,49.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Fresh Water Eel,future_forecast,2014-10-01,8.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Fresh Water Eel,future_forecast,2014-11-01,32.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Fresh Water Eel,future_forecast,2014-12-01,52.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Jelly Fish,future_forecast,2014-01-01,14.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Jelly Fish,future_forecast,2014-02-01,25.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Jelly Fish,future_forecast,2014-03-01,17.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Jelly Fish,future_forecast,2014-04-01,61.0,"SARIMAX(1,1,1)x(1,1,1,12)"
